filename,width,height,mode,mean_intensity,std_intensity,min_intensity,max_intensity,entropy,sharpness,has_nan
J092921.06+120647.6.jpg,800,800,RGB,43.4070421875,35.85365684062221,0,255,6.710822787398784,13487.606774835,False
J152628.90+062923.5.jpg,800,800,RGB,41.0700625,31.9339176822663,0,255,6.4218299312711205,12769.98507225,False
J082124.24+220347.3.jpg,800,800,RGB,37.72330885416667,30.339091735289593,0,255,6.375893471174885,13452.319601359999,False
J155645.13+370953.4.jpg,800,800,RGB,43.0902109375,33.36132015222502,0,255,6.437902560952959,14729.071375375002,False
J004430.89-101049.9.jpg,800,800,RGB,43.830683854166665,37.583992897867134,0,255,6.673235082928918,13634.836921089998,False
J151608.90+494205.9.jpg,800,800,RGB,42.78108072916667,30.80504155638096,0,255,6.500993359571782,14330.56814241,False
J142950.31+353412.2.jpg,800,800,RGB,50.722177083333335,41.59297268682506,0,255,6.685756408258698,13021.103037689998,False
J225600.13+151046.2.jpg,800,800,RGB,48.344865625,37.6951440008174,0,255,6.691156697805605,13765.602764309999,False
J144005.42+083857.5.jpg,800,800,RGB,40.065469791666665,30.48412515758072,0,255,6.332568977971394,12877.42737706,False
J094723.70+333219.0.jpg,800,800,RGB,39.61544270833333,30.182081968270943,0,255,6.359420188819464,14470.805355415,False
J112641.78+184909.2.jpg,800,800,RGB,38.9044828125,30.47524755348279,0,255,6.508825909482177,14101.709339125002,False
J074648.82+353526.9.jpg,800,800,RGB,49.5818015625,38.67702507847571,0,255,6.4959133360725065,14779.28223939,False
J161303.12+305459.8.jpg,800,800,RGB,44.7811703125,34.848565571943354,0,255,6.582613115329317,14423.924569335002,False
J105511.95+052900.2.jpg,800,800,RGB,38.77587239583333,29.99631754559578,0,255,6.445339071915547,13633.645215939998,False
J210108.21-053531.6.jpg,800,800,RGB,42.244728125,34.59664995853164,0,255,6.503371709118358,14113.136332909999,False
J105201.56+042922.4.jpg,800,800,RGB,39.58885052083333,30.363161536665025,0,255,6.544689220270718,13830.590803125,False
J103310.17+254445.7.jpg,800,800,RGB,43.51817604166666,35.57867438049338,0,255,6.658525345501431,14339.29741471,False
J234940.63+003557.6.jpg,800,800,RGB,41.7958546875,30.521406340532284,0,255,6.217676960621728,14368.072559315002,False
J012257.21-101454.4.jpg,800,800,RGB,41.3624390625,33.88796759650551,0,255,6.5271603913449505,13587.661518749997,False
J153957.19+151303.3.jpg,800,800,RGB,40.1172921875,31.17325398313301,0,255,6.398474487203403,14000.047845209998,False
J142009.01+585645.7.jpg,800,800,RGB,43.002063541666665,33.80014489170319,0,255,6.463553714208023,14189.263742040002,False
J083314.66+250409.7.jpg,800,800,RGB,47.96059270833333,37.10833722840502,0,255,6.7919741155704445,13315.368345109999,False
J092124.37+204407.8.jpg,800,800,RGB,44.9483359375,35.791917021218815,0,255,6.6860860153722035,14323.509727539998,False
J152801.45+012904.8.jpg,800,800,RGB,50.269992708333334,30.487521606865872,0,255,6.733396292856975,14298.605810264999,False
J132646.90+025447.6.jpg,800,800,RGB,40.35220104166667,30.019081123671693,0,255,6.497759362309603,14202.3560335,False
J121803.63+614527.7.jpg,800,800,RGB,45.47696614583333,29.031029352658088,0,255,6.381808985630196,14492.052606565,False
J093219.26+412811.2.jpg,800,800,RGB,46.6091625,35.84572691012501,0,255,6.453036854319708,14944.702111499999,False
J212811.65+001759.5.jpg,800,800,RGB,47.43586614583333,35.47852440759644,0,255,6.319593068797612,12352.50612881,False
J102155.55+100109.5.jpg,800,800,RGB,39.8979640625,30.09808793796751,0,255,6.522817233991105,12239.35875911,False
J170259.90+351843.9.jpg,800,800,RGB,53.17812083333333,39.80745962402942,0,255,6.75014856706469,14637.562254235,False
J130544.06+252655.6.jpg,800,800,RGB,48.35304895833333,37.15543024993816,0,255,6.7991113267380365,13611.349154000001,False
J135343.56+214845.0.jpg,800,800,RGB,43.075825,35.586555258309396,0,255,6.5257835998287375,14023.811201534998,False
